md,inc,azm,tvd,ns_ft,ew_ft
12655.00,43.38,130.39,12489.40,722.19,634.83
12702.00,46.71,129.83,12522.61,700.77,660.27
12749.00,50.01,128.82,12553.83,678.52,687.44
12796.00,54.40,127.48,12582.63,655.60,716.65
12843.00,58.62,128.06,12608.56,631.59,747.62
12891.00,61.97,128.26,12632.34,605.83,780.40
12938.00,64.93,128.97,12653.35,579.60,813.25
12985.00,68.16,129.44,12672.05,552.34,846.65
13032.00,72.15,130.17,12688.00,524.05,880.60
13079.00,75.89,130.76,12700.94,494.73,914.97
13126.00,79.12,130.90,12711.11,464.73,949.69
13173.00,82.54,130.86,12718.60,434.37,984.76
13220.00,85.40,130.80,12723.53,403.81,1020.13
13267.00,88.29,132.00,12726.12,372.78,1055.32
13361.00,87.93,130.84,12729.22,310.63,1125.77
13455.00,88.12,130.52,12732.46,249.39,1197.02
13550.00,87.80,127.33,12735.84,189.75,1270.87
13644.00,87.81,128.89,12739.44,131.78,1344.77
13738.00,88.49,129.71,12742.48,72.27,1417.47
13832.00,88.05,129.54,12745.32,12.35,1489.84
13926.00,86.31,128.60,12749.94,-46.82,1562.73
14020.00,87.63,132.85,12754.91,-108.05,1633.85
14114.00,88.43,132.05,12758.14,-171.46,1703.17
14208.00,88.17,131.77,12760.93,-234.22,1773.09
14302.00,88.49,129.05,12763.67,-295.12,1844.63
14396.00,88.05,128.06,12766.51,-353.68,1918.10
14491.00,88.36,131.31,12769.49,-414.31,1991.16
