md,inc,azm,tvd,ns_val,ns_lab,ew_val,ew_lab
195.00,0.40,205.30,195.00,0.62,S,0.29,W
392.00,0.50,211.60,391.99,1.97,S,1.03,W
584.00,0.40,155.20,583.99,3.30,S,1.19,W
775.00,0.40,133.20,774.98,4.36,S,0.43,W
960.00,0.30,121.80,959.98,5.05,S,0.46,E
1126.00,0.10,57.60,1125.98,5.21,S,0.95,E
1306.00,0.20,283.20,1305.98,5.05,S,0.78,E
1486.00,0.50,353.90,1485.98,4.20,S,0.39,E
1666.00,0.70,321.50,1665.97,2.56,S,0.38,W
1847.00,0.10,326.70,1846.96,1.56,S,1.16,W
2027.00,0.70,337.30,2026.96,0.41,S,1.67,W
2208.00,0.60,325.50,2207.94,1.39,N,2.63,W
2388.00,0.40,286.20,2387.94,2.34,N,3.77,W
2568.00,0.40,320.90,2567.93,3.00,N,4.77,W
2749.00,0.30,315.10,2748.93,3.83,N,5.50,W
2929.00,0.20,335.80,2928.93,4.45,N,5.96,W
3109.00,0.40,304.30,3108.93,5.09,N,6.61,W
3290.00,0.40,296.10,3289.92,5.72,N,7.70,W
3471.00,0.70,292.20,3470.91,6.42,N,9.29,W
3650.00,1.40,304.00,3649.88,8.06,N,12.12,W
3718.00,1.50,304.20,3717.86,9.02,N,13.54,W
3777.00,1.06,298.99,3776.85,9.72,N,14.66,W
